,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
35,"PM Modi's Ram Obeisance in Tamil Nadu, Dakshina Darshan Decoded! | Ram Mandir Ayodhya | News18",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 33s,2024-01-19T14:56:01Z,80049,974,207,19,,,
36,"Ram Mandir & India's Muslims, What's The Message From Ram Nagri? | Author Ashwin Sanghi Exclusive",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 5s,2024-01-18T15:13:13Z,18179,189,69,23,,,
37,Ram Mandir News | Supreme Court Said No Ram Temple Was Demolished To Build Masjid | Ayodhya News,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,37m 49s,2024-01-18T14:39:35Z,16206,169,80,23,,,
38,Lord Ram's Legacy Restored By Prime Minister Narendra Modi? | Ram Mandir Ayodhya | Ram Temple,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 12s,2024-01-17T14:38:09Z,8332,140,84,19,,,
39,Exclusive: Author Amish Tripathi Interview On Ayodhya's Rise & Bharat | Message In Renaissance,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 16s,2024-01-17T14:31:08Z,965,9,0,19,,,
40,Editor Of The Thuglak S Gurumurthy's Exclusive Interview On The Ram mandir Pran Pratishtha | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 33s,2024-01-16T15:02:25Z,42911,627,86,18,,,
41,Ayodhya Ram Mandir | Preparations For The Grand Ram Mandir's Pran Pratishtha In Full Swing | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 9s,2024-01-16T14:57:53Z,17876,222,51,19,,,
42,‘Don't Believe In Doing Negative Politics’: Milind Deora Explains Why He Quit Congress | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 26s,2024-01-15T15:29:36Z,57673,353,106,20,,,
43,January 22 'Pran Pratishta': Why Ram Is Above Religion? | Ram Mandir Ayodhya | Ram Temple Ayodhya,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,7m 41s,2024-01-11T15:17:16Z,1676,12,0,19,,,
44,Congress To Boycott 'Pran Pratishta': Bharat's Ram Not I.N.D.I.A'S Idol? | Ram Mandir Ayodhya,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,45m 46s,2024-01-11T15:12:35Z,70163,933,633,19,,,
45,Guarantees Bleeding Karnataka': Congress Faces Perils Of Buying Votes? | Karnataka Latest News,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,14m 58s,2024-01-09T14:50:44Z,68914,470,352,21,,,
46,PM Modi-UAE President News | Modi- Al Nahyan Roadshow : Stamp For NDA's Sabka Saath | News18,Foreign Relations (excluding Pakistan),The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 41s,2024-01-09T14:44:28Z,33779,364,62,17,,,
47,"Bilkis Bano Case: SC Strikes Down Gujarat Govt’s Remission Order, Asks Them to Surrender | News18",Legal issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 23s,2024-01-08T14:55:51Z,30932,115,72,19,,,
48,Prime Minister Modi's Lakshadweep Visit Exposes Tension In India-Maldives Ties | English News,Foreign Relations (excluding Pakistan),The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,33m 38s,2024-01-08T14:52:34Z,97192,1127,368,22,,,
49,Need For Ram Mandir Questioned: Hindu Aastha 2nd Rate For I.N.D.I.A? | Ram Mandir Ayodhya | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 11s,2024-01-05T16:27:39Z,22567,297,178,19,,,
50,Poojary Was Not An 'Absconder': CNN-News18 Accesses Document | Ram Mandir 1992 Case | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 12s,2024-01-04T14:44:16Z,1206,10,9,19,,,
51,Arvind Kejriwal Slamming ED Summons Ahead Of Lok Sabha Polls | Arvind Kejriwal News | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,33m 3s,2024-01-04T14:34:06Z,12233,166,41,19,,,
52,"Ahead of Ram Temple Opening, Cong Leader BK Hariprasad Says 'Godhra-Like Riots Likely | News18",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 11s,2024-01-03T14:23:25Z,8946,99,65,19,,,
53,Ayodhya Ram Mandir News | Asaduddin Owaisi's Remark Ahead Of Ram Temple Opening Ignites Controversy,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 39s,2024-01-02T15:06:12Z,12565,141,92,21,,,
54,Karnataka BJP Alleges Arrest Of Ram Temple Agitation Activists After 31 Years | Ram Mandir | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,12m 38s,2024-01-02T15:01:25Z,1644,21,4,0,,,
1,Prime Minister Modi Returns From Qatar Visit | India Today,Foreign Relations (excluding Pakistan),Newstrack_with_Rahul_Kanwal,India Today,2m 53s,2024-02-15T16:25:08Z,6596,64,7,public,,,18
